project_id	geoname_id	precision_code	place_name	latitude	longitude	location_type_code	geoname_adm_code	geonames_adm_name
P111117	7648951	3	Atwima Kwanwoma	6.65	-1.73333	ADM2	GH|02|7648951	Ghana|Ashanti|Atwima Kwanwoma
P111117	7648952	3	Atwima Mponua	6.6	-2.11667	ADM2	GH|02|7648952	Ghana|Ashanti|Atwima Mponua
P111117	7648953	3	Atwima Nwabiagya	6.66667	-1.81667	ADM2	GH|02|7648953	Ghana|Ashanti|Atwima Nwabiagya
P111117	7648955	3	Awutu Senya	5.5514	-0.51523	ADM2	GH|04|7648955	Ghana|Central|Awutu Senya
P111117	7648956	3	Bawku	11.05806	-0.24167	ADM2	GH|10|7648956	Ghana|Upper East|Bawku
P111117	7647390	3	Bawku West	10.91667	-0.51667	ADM2	GH|10|7647390	Ghana|Upper East|Bawku West
P111117	7648957	3	Bekwai	6.45	-1.58333	ADM2	GH|02|7648957	Ghana|Ashanti|Bekwai
P111117	7648958	3	Berekum	7.45	-2.58333	ADM2	GH|03|7648958	Ghana|Brong-Ahafo|Berekum
P111117	7648959	3	Bia	6.73664	-3.04404	ADM2	GH|09|7648959	Ghana|Western|Bia
P111117	7648960	3	Biakoye	7.11667	0.31667	ADM2	GH|08|7648960	Ghana|Volta|Biakoye
P111117	7648962	3	Bibiani/Ahwiaso/Bekwai	6.46667	-2.33333	ADM2	GH|09|7648962	Ghana|Western|Bibiani/Ahwiaso/Bekwai
P111117	7648963	3	Birim Central	5.91667	-0.98333	ADM2	GH|05|7648963	Ghana|Eastern|Birim Central
P111117	7648964	3	Birim North	6.33856	-0.99564	ADM2	GH|05|7648964	Ghana|Eastern|Birim North
P111117	7648965	3	Birim South	5.9	-1.01667	ADM2	GH|05|7648965	Ghana|Eastern|Birim South
P111117	7647453	3	Bole	8.5927	-2.06782	ADM2	GH|06|7647453	Ghana|Northern|Bole
P111117	7648966	3	Bolgatanga	10.78556	-0.85139	ADM2	GH|10|7648966	Ghana|Upper East|Bolgatanga
P111117	7647386	3	Bongo	10.90778	-0.80806	ADM2	GH|10|7647386	Ghana|Upper East|Bongo
P111117	7648967	3	Bosome Freho	6.41667	-1.33333	ADM2	GH|02|7648967	Ghana|Ashanti|Bosome Freho
P111117	7648968	3	Bosomtwe	6.53333	-1.48333	ADM2	GH|02|7648968	Ghana|Ashanti|Bosomtwe
P111117	7647385	3	Builsa	10.73472	-1.29056	ADM2	GH|10|7647385	Ghana|Upper East|Builsa
